Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe
"46544";"190384680";"";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANA KAZIMIERZA KUCZYŃSKIEGO";"22";"2211";"2211045";"0935067";"24628";"POMORSKIE";"pucki";"Władysławowo";"Karwia";"wieś";"ul. Wojska Polskiego";"47";"";"84-105";"Karwia";"586747304";"";"poczta@spkarwia.wladyslawowo.pl";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"BERNADETA BUDZISZ";"2004.03.25";"2004.03.25";"";"Gmina";"GMINA WŁADYSŁAWOWO";"191675416";"";"POMORSKIE";"pucki";"Władysławowo";"samodzielna";"";"";"";"166";"boiska do siatkówki,boiska do koszykówki,boiska do piłki nożnej";"angielski,niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości,Zajęcia rewalidacyjno-wychowawcze"
"74323";"190577953";"5871439463";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W ŻARNOWCU";"22";"2211";"2211062";"0165385";"21970";"POMORSKIE";"pucki";"Krokowa";"Żarnowiec";"wieś";"ul. Szkolna";"2";"";"84-110";"Krokowa";"586737603";"586737603";"sekretariat@szkolazarnowiec.pl";"http://szkolazarnowiec.pl/";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ALEKSANDRA OBSZYŃSKA";"1992.01.01";"1992.01.01";"";"Gmina";"GMINA KROKOWA";"191675528";"";"POMORSKIE";"pucki";"Krokowa";"samodzielna";"";"";"";"203";"inne urządzenia sportowe,baseny pływackie typu sportowego o wymiarach 25 m x 16 m lub o powierzchni równej albo większej niż 400 m2 i mniejszej niż 1250 m2";"angielski,niemiecki";"Nie";"Tak";"Nie";"ogólnodostępny,z dodatkową nauką języka mniejszości narodowej lub etnicznej albo j.regionalnego";"Grupa nauczania języka mniejszości"
"48874";"000737261";"5871506403";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JÓZEFA DAMBKA W LEŚNIEWIE";"22";"2211";"2211072";"0170430";"12577";"POMORSKIE";"pucki";"Puck";"Leśniewo";"wieś";"ul. Mechowska";"2";"";"84-106";"Leśniewo";"585065070";"585065070";"splesniewo@wp.pl";"www.splesniewo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"MARIA MACIEJEWSKA";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"468";"";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości"
"48875";"000737284";"5871506395";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JÓZEFA WIERZBICKIEGO W POŁCHOWIE";"22";"2211";"2211072";"0170660";"04434";"POMORSKIE";"pucki";"Puck";"Połchowo";"wieś";"ul. Dworcowa";"2";"";"84-123";"Połchowo";"586738424";"586738424";"sekretariat@sppolchowo.pl";"www.zsppolchowo.edupage.org";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"szkoła/placówka wchodząca w skład jednostki złożonej";"268528";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W POŁCHOWIE";"222";"";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";""
"30918";"000258359";"5871291397";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JÓZEFA WYBICKIEGO";"22";"2211";"2211024";"0934518";"21139";"POMORSKIE";"pucki";"Jastarnia";"Jastarnia";"miasto";"ul. Mariana Stelmaszczyka";"4";"";"84-140";"Jastarnia";"586752040";"586753883";"spjastarnia@wp.pl";"https://spjastarnia.szkolnastrona.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"EWA KWIECIŃSKA";"1966.09.01";"1966.09.01";"";"Gmina";"GMINA JASTARNIA";"191675480";"";"POMORSKIE";"pucki";"Jastarnia";"samodzielna";"";"";"";"321";"boiska do koszykówki,sale gimnastyczne o wymiarach mniejszych niż 36m x 18m do 24m x 12m lub o powierzchni mniejszej niż 648 m2 i równej lub większej niż 288 m2";"angielski,niemiecki";"Tak";"Nie";"Tak";"ogólnodostępny,integracyjny";"Grupa nauczania języka mniejszości,Wczesne wspomaganie rozwoju"
"48185";"000737309";"5871506515";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. KSIĘDZA BISKUPA KONSTANTYNA DOMINIKA W SWARZEWIE";"22";"2211";"2211072";"0170848";"21970";"POMORSKIE";"pucki";"Puck";"Swarzewo";"wieś";"ul. Szkolna";"36";"";"84-100";"Puck";"586740997";"586740997";"szkolna1@wp.pl";"www.spswarzewo.edupage.org";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"BOŻENA KORTH";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"116";"boiska uniwersalne/wielozadaniowe";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości"
"48166";"000737278";"5871498193";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. LEONA BIZEWSKIEGO W GNIEŻDŻEWIE";"22";"2211";"2211072";"0170423";"04434";"POMORSKIE";"pucki";"Puck";"Gnieżdżewo";"wieś";"ul. Dworcowa";"6";"";"84-100";"Puck";"586732545";"586732545";"spgniezdzewo@wp.pl";"www.spgniezdzewo.edupage.org";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"MARIUSZ MISCHKOWSKI";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"166";"";"angielski,niemiecki";"Nie";"Tak";"Nie";"ogólnodostępny";"Grupa nauczania języka mniejszości"
"72302";"001203490";"5871713183";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. MAKSYMILIANA WILANDTA W DARZLUBIU";"22";"2211";"2211072";"0170363";"18079";"POMORSKIE";"pucki";"Puck";"Darzlubie";"wieś";"ul. Pucka";"74";"";"84-100";"Puck";"586738292";"586738269";"sekretariat@darzlubie.eu";"www.darzlubie.eu";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"SŁAWOMIR STROMSKI";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"235";"";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny";"Grupa nauczania języka mniejszości,Zajęcia rewalidacyjno-wychowawcze"
"83814";"190078138";"";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. MARIUSZA ZARUSKIEGO W PUCKU";"22";"2211";"2211031";"0934636";"17626";"POMORSKIE";"pucki";"Puck";"Puck";"miasto";"ul. Przebendowskiego";"27";"";"84-100";"Puck";"586732711";"586733986";"sppuck@wp.pl";"www.sppuck.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ZDZISŁAW PRUCHNIEWSKI";"1948.09.01";"1948.09.01";"";"Gmina";"GMINA MIASTA PUCK";"191675439";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"872";"";"angielski,hiszpański,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny,sportowy";"Grupa nauczania języka mniejszości"
"63430";"000738088";"5871713208";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. PAWŁA GÓRY W MRZEZINIE";"22";"2211";"2211072";"0170624";"04434";"POMORSKIE";"pucki";"Puck";"Mrzezino";"wieś";"ul. Dworcowa";"54";"";"84-123";"Mrzezino";"586738848";"586736700";"sekretariat@spmrzezino.pl";"www.zsmrzezino.edupage.org";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"JACEK STASIERSKI";"1973.09.01";"1973.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"308";"";"angielski,niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości"
"57145";"190384674";"5871028518";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. STEFANA ŻEROMSKIEGO W JASTRZĘBIEJ GÓRZE";"22";"2211";"2211045";"0935050";"20286";"POMORSKIE";"pucki";"Władysławowo";"Jastrzębia Góra";"wieś";"ul. Słowackiego";"4";"";"84-104";"Jastrzębia Góra";"797276051";"";"spjastrzebiagora@wladyslawowo.pl";"www.spjg.szkolnastrona.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"HANNA NOWAK";"1964.09.01";"1964.09.01";"";"Gmina";"GMINA WŁADYSŁAWOWO";"191675416";"";"POMORSKIE";"pucki";"Władysławowo";"samodzielna";"";"";"";"224";"baseny olimpijskie o wymiarach 50 m x 25 m lub o powierzchni równej albo większej niż 1250 m2";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny";"Grupa nauczania języka mniejszości,Oddział przygotowawczy"
"48877";"191085519";"5871506521";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. WIKTORA CZAPIEWSKIEGO W REKOWIE GÓRNYM";"22";"2211";"2211072";"0170720";"35372";"POMORSKIE";"pucki";"Puck";"Rekowo Górne";"osada";"ul. Wiktora Czapiewskiego";"1";"";"84-123";"Połchowo";"586738561";"";"sekretariat@sprekowo.edu.pl";"www.sprekowo.edupage.org";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"LIDIA CEYNOWA - KRAWCZYK";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"81";"boiska do koszykówki,inne urządzenia sportowe";"angielski,niemiecki";"Nie";"Tak";"Nie";"ogólnodostępny";"Grupa nauczania języka mniejszości"
"63434";"000267826";"5871713177";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA KONEFKI W STARZYNIE";"22";"2211";"2211072";"0170794";"26406";"POMORSKIE";"pucki";"Puck";"Starzyno";"wieś";"ul. Żarnowiecka";"22";"";"84-107";"Starzyno";"586738776";"586738776";"starzyno@wp.pl";"www.szkolastarzyno.eu";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ARTUR SURMAJ";"1999.04.29";"1999.09.01";"";"Gmina";"GMINA PUCK";"191675468";"";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"258";"boiska do siatkówki,boiska do koszykówki,boiska do piłki ręcznej,boiska do piłki nożnej";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny";"Grupa nauczania języka mniejszości,Wczesne wspomaganie rozwoju,Zajęcia rewalidacyjno-wychowawcze"
"74322";"190577918";"5871431941";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM.KADM.WŁ.STEYERA W KROKOWEJ";"22";"2211";"2211062";"0165110";"21970";"POMORSKIE";"pucki";"Krokowa";"Krokowa";"wieś";"ul. Szkolna";"6";"";"84-110";"Krokowa";"586737660";"586737660";"spkrokowa@gmail.com";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"JACEK PERŁAK";"1992.01.01";"1992.01.01";"";"Gmina";"GMINA KROKOWA";"191675528";"";"POMORSKIE";"pucki";"Krokowa";"samodzielna";"";"";"";"639";"ścianki wspinaczkowe,urządzenia do sportów wrotkarskich";"angielski,niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny,specjalny";"Grupa nauczania języka mniejszości,Wczesne wspomaganie rozwoju"
"57158";"190384668";"5871257495";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM.KPT.Ż.W.GUSTAWA KAROLA KAŃSKIEGO";"22";"2211";"2211045";"0935044";"24497";"POMORSKIE";"pucki";"Władysławowo";"Chłapowo";"wieś";"ul. Władysławowska";"87";"";"84-120";"Władysławowo";"586740696";"";"spchlapowo@wp.pl";"www.spchlapowo.wladyslawowo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"ALFRED ŁUKASZEWSKI";"1994.01.01";"1994.01.01";"";"Gmina";"GMINA WŁADYSŁAWOWO";"191675416";"";"POMORSKIE";"pucki";"Władysławowo";"samodzielna";"";"";"";"163";"sale gimnastyczne o wymiarach mniejszych niż 24m x 12m do 18 m x 9 m lub o powierzchni mniejszej niż 288 m2 i równej lub większej niż 162 m2";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości,Wczesne wspomaganie rozwoju"
"83467";"221777967";"";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA MAŁE MORZE IM. KS. JANA KACZKOWSKIEGO W PUCKU";"22";"2211";"2211031";"0934636";"17626";"POMORSKIE";"pucki";"Puck";"Puck";"miasto";"ul. Przebendowskiego";"12";"";"84-100";"Puck";"604413004";"587364310";"m.wozniak@pozytywneinicjatywy.pl";"http://www.sp.pozytywneinicjatywy.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KATARZYNA TABOR-BRZEZIŃSKA";"2010.11.15";"2011.09.01";"";"Spółki Handlowe";"""POZYTYWNE INICJATYWY-EDUKACJA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"221092650";"5871689332";"POMORSKIE";"pucki";"Puck";"samodzielna";"";"";"";"146";"";"angielski,niemiecki";"Tak";"Tak";"Nie";"ogólnodostępny,integracyjny";"Grupa nauczania języka mniejszości"
"57147";"190384651";"5871028501";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 2 IM. KONTRADMIRAŁA WŁODZIMIERZA STEYERA";"22";"2211";"2211044";"0935015";"00011";"POMORSKIE";"pucki";"Władysławowo";"Władysławowo";"miasto";"ul. 1000-lecia Państwa Polskiego";"2";"";"84-120";"Władysławowo";"586740942";"586740531";"sekretariat@sp2.wladyslawowo.pl";"sp2.wladyslawowo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"LIDIA KOSS";"1967.02.28";"1967.02.28";"";"Gmina";"GMINA WŁADYSŁAWOWO";"191675416";"";"POMORSKIE";"pucki";"Władysławowo";"samodzielna";"";"";"";"528";"";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny,sportowy";"Grupa nauczania języka mniejszości,Wczesne wspomaganie rozwoju"
"57155";"190894004";"5871258218";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 3";"22";"2211";"2211044";"0935015";"13296";"POMORSKIE";"pucki";"Władysławowo";"Władysławowo";"miasto";"ul. Morska";"1";"";"84-120";"Władysławowo";"586740441";"586740441";"zs1@wladyslawowo.pl";"www.zs1.wladyslawowo.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"1995.09.01";"1995.09.01";"";"Gmina";"GMINA WŁADYSŁAWOWO";"191675416";"";"POMORSKIE";"pucki";"Władysławowo";"szkoła/placówka wchodząca w skład jednostki złożonej";"271384";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 1";"374";"sale gimnastyczne o wymiarach mniejszych niż 36m x 18m do 24m x 12m lub o powierzchni mniejszej niż 648 m2 i równej lub większej niż 288 m2,baseny pływackie typu sportowego o wymiarach 25 m x 16 m lub o powierzchni równej albo większej niż 400 m2 i mniejszej niż 1250 m2,hale sportowe o wymiarach 44 m x 22 m i większych";"angielski,niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny";"Oddział przygotowawczy"
"274839";"386326573";"";"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W KOSAKOWIE";"22";"2211";"2211052";"0164144";"26464";"POMORSKIE";"pucki";"Kosakowo";"Kosakowo";"wieś";"ul. Żeromskiego";"11";"";"81-198";"Kosakowo";"586792390";"586792390";"dyrektor.sp.kosakowo@gmail.com";"sp.kosakowo@gmail.com";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"MONIKA PAWLICKA";"2020.02.25";"2020.09.01";"";"Gmina";"GMINA KOSAKOWO";"191675534";"";"POMORSKIE";"pucki";"Kosakowo";"samodzielna";"";"";"";"413";"boiska do koszykówki,boiska do piłki nożnej,bieżnie proste,skocznie,boiska uniwersalne/wielozadaniowe,baseny pływackie typu sportowego o wymiarach 25 m x 16 m lub o powierzchni równej albo większej niż 400 m2 i mniejszej niż 1250 m2,sale o powierzchni mniejszej niż 162 m2,hale sportowe o wymiarach 44 m x 22 m i większych";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny,integracyjny";""
